Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 12/11  17:00:00,1.68214714599,5.12620626265,0.0,4.27283628217,0.11440721008,0.11440721008,0.11440721008,0.470882146443,0.102941382504,0.428670866964,0.54454554
 12/11  18:00:00,2.33948562336,5.35252005121,0.0,4.34116026235,0.116236616928,0.116236616928,0.116236616928,0.824043808112,0.180147407504,0.536821987543,0.661535803274
 12/11  19:00:00,2.68189740426,5.11408841497,0.0,3.95991355673,0.106028556272,0.106028556272,0.106028556272,1.08665094,0.237557,0.482732692333,0.718228215658
 12/11  20:00:00,2.48626725326,5.02134911286,0.0,3.84167418621,0.102862641266,0.102862641266,0.102862641266,1.01420772511,0.221719906259,0.385424228339,0.741352752288
 12/11  21:00:00,2.36655332757,5.38023803679,0.0,4.27970003848,0.114590990398,0.114590990398,0.114590990398,0.923653513834,0.201923473756,0.338845876819,0.766839472767
 12/11  22:00:00,2.15920001999,5.57536707687,0.0,4.57411719679,0.122474148904,0.122474148904,0.122474148904,0.778766651887,0.170249215008,0.318073398495,0.748936605699
 12/11  23:00:00,1.7486242571,5.22204775337,0.0,4.38555432283,0.117425288871,0.117425288871,0.117425288871,0.579547346612,0.126697082504,0.256145886137,0.648108652973
 12/11  24:00:00,1.38425164606,5.52610806845,0.0,4.86582788395,0.130284840366,0.130284840366,0.130284840366,0.407494211165,0.0890838987557,0.173494335907,0.563194359863
 12/12  01:00:00,0.998584889746,5.81582256933,0.0,5.34305988388,0.143062952624,0.143062952624,0.143062952624,0.208274799722,0.0455317662519,0.115167850971,0.465847520178
 12/12  02:00:00,0.864950806367,6.45579208445,0.0,6.06772317367,0.162466154562,0.162466154562,0.162466154562,0.126775979222,0.0277149912519,0.0983708244822,0.428922856849
 12/12  03:00:00,0.800426745296,6.8276137771,0.0,6.46155329869,0.173011142218,0.173011142218,0.173011142218,0.0814988419834,0.0178167773756,0.0834501454999,0.423949838219
