Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 10/12  07:00:00,2.09347532301,2.32315428016,0.0,2.28855850197,0.0,0.0624731145455,0.0624731145455,0.0624731145455,0.459971801298,0.103972045394,0.26297090348,0.501476249004,0.642341209292
 10/12  08:00:00,1.94020912767,1.39932371709,0.0,1.37007498494,0.0,0.0373961760047,0.0373961760047,0.0373961760047,0.409793033443,0.09262966045,0.334870698725,0.423969202396,0.618780356651
 10/12  09:00:00,1.59565929035,0.303926014053,0.0,0.279032977807,0.0,0.00761503571422,0.00761503571422,0.00761503571422,0.200714943305,0.0453696266531,0.406710562808,0.360832075378,0.551647046493
 10/12  10:00:00,1.67867950675,0.0254784792433,0.0,0.0,0.158028223135,0.0366677521523,0.194695975287,0.0366677521523,0.158899324779,0.0359176198937,0.423353375669,0.369318248364,0.473724962758
 10/12  11:00:00,2.19030820977,0.0254862851499,0.0,0.0,0.614910204061,0.140941678572,0.755851882633,0.140941678572,0.158899324779,0.0359176198937,0.442174469475,0.369431397337,0.40526351565
 10/12  12:00:00,2.38236391054,0.0250569602852,0.0,0.0,0.828809967304,0.188550973035,1.01736094034,0.188550973035,0.158899324779,0.0359176198937,0.432310148963,0.363208203814,0.351897672753
 10/12  13:00:00,2.64931106478,0.0259234159212,0.0,0.0,1.09311315684,0.248778869051,1.34189202589,0.248778869051,0.158899324779,0.0359176198937,0.392839479418,0.375767739833,0.321224874967
 10/12  14:00:00,2.81153552531,0.0273831204612,0.0,0.0,1.25956368682,0.284393527158,1.54395721398,0.284393527158,0.158899324779,0.0359176198937,0.363165015326,0.396926597813,0.289899753526
 10/12  15:00:00,2.91400323928,0.0289052722543,0.0,0.0,1.30323275295,0.294281670487,1.59751442343,0.294281670487,0.167262474107,0.0378080270375,0.375164064812,0.418990647577,0.294493602311
 10/12  16:00:00,3.00597803744,0.0341898710434,0.0,0.0,1.19029217809,0.273022147176,1.46331432527,0.273022147176,0.209078092634,0.0472600337968,0.435099748529,0.4955925024,0.332863334814
 10/12  17:00:00,3.10008533828,0.0415352291831,0.0,0.0,0.889297872675,0.20642094679,1.09571881946,0.20642094679,0.342888095046,0.0775064322594,0.542946890966,0.602065686135,0.416189414406
 10/12  18:00:00,3.41965696009,0.0450947226068,0.0,0.0,0.77936508147,0.180800620229,0.960165701699,0.180800620229,0.627234275405,0.141780072431,0.489747790749,0.653661617892,0.494297501912
 10/12  19:00:00,3.58122096271,0.0465466212401,0.0,0.0,0.627334818218,0.145463918488,0.772798736706,0.145463918488,0.986848543489,0.223067318978,0.393243357496,0.674707326898,0.507785679148
 10/12  20:00:00,3.43083721855,0.0481468320994,0.0,0.0,0.461973855878,0.107065287377,0.569039143254,0.107065287377,1.0872060767,0.245752117825,0.346868577915,0.697902866393,0.461298436456
 10/12  21:00:00,2.88239324196,0.0470227815446,0.0,0.0,0.267190262231,0.0618929804756,0.329083242707,0.0618929804756,0.911580455764,0.206053712603,0.326136773512,0.68160941426,0.405159643113
 10/12  22:00:00,2.15543886216,0.0406921912669,0.0,0.0,0.0971854029074,0.0225005267317,0.119685929639,0.0225005267317,0.685776064473,0.155012864519,0.264015642455,0.589845597035,0.318332764038
 10/12  23:00:00,1.53116401158,0.238641709523,0.0,0.203280952485,0.0,0.00554583587845,0.00554583587845,0.00554583587845,0.476697974336,0.107752859681,0.180930820152,0.512564848373,0.224901673162
 10/12  24:00:00,1.01074964614,0.751482748058,0.0,0.722234015912,0.0,0.0197027936912,0.0197027936912,0.0197027936912,0.242530561832,0.0548216334125,0.122407601285,0.423969202396,0.124547853522
 10/13  01:00:00,0.809279941577,1.03081719279,0.0,1.00388681492,0.0,0.0273832362753,0.0273832362753,0.0273832362753,0.15053617545,0.03402721275,0.105451095784,0.39036395737,0.0787482639479
 10/13  02:00:00,0.721471093461,1.22227479438,0.0,1.19565665277,0.0,0.032608723452,0.032608723452,0.032608723452,0.100357484215,0.0226848133266,0.0904395727229,0.385837998444,0.0667725013012
 10/13  03:00:00,0.719520753412,1.54664645104,0.0,1.52040299295,0.0,0.0414574743756,0.0414574743756,0.0414574743756,0.100357484215,0.0226848133266,0.0815325148897,0.380406847733,0.0703116188734
 10/13  04:00:00,0.753643810181,1.55898043599,0.0,1.53372832804,0.0,0.0418169673424,0.0418169673424,0.0418169673424,0.100357484215,0.0226848133266,0.0934531543451,0.366036928142,0.10652446281
 10/13  05:00:00,0.983629652588,1.62185531301,0.0,1.59367599007,0.0,0.0434492715848,0.0434492715848,0.0434492715848,0.10872060767,0.0245752117825,0.108356723184,0.408467793074,0.267290045293
 10/13  06:00:00,1.57335400726,2.3666288763,0.0,2.33407043974,0.0,0.063627438634,0.063627438634,0.063627438634,0.225804388794,0.051040819125,0.171615042699,0.471944367012,0.566551950995
 10/13  07:00:00,2.07240844018,1.42106736568,0.0,1.38647158749,0.0,0.0377949930523,0.0377949930523,0.0377949930523,0.459971801298,0.103972045394,0.26297090348,0.501476249004,0.645952447956
 10/13  08:00:00,1.92974462845,0.889962582914,0.0,0.860713850768,0.0,0.0234609621027,0.0234609621027,0.0234609621027,0.409793033443,0.09262966045,0.334870698725,0.423969202396,0.622251071335
 10/13  09:00:00,1.70740703573,0.024893036246,0.0,0.0,0.0947867189068,0.0214519746827,0.11623869359,0.0214519746827,0.200714943305,0.0453696266531,0.406710562808,0.360832075378,0.554771134002
 10/13  10:00:00,1.94426572853,0.0254784792433,0.0,0.0,0.37368334354,0.0838892374021,0.457572580943,0.0838892374021,0.158899324779,0.0359176198937,0.423353375669,0.369318248364,0.47643457888
 10/13  11:00:00,2.21833739264,0.0254862851499,0.0,0.0,0.640152141782,0.141468562293,0.781620704074,0.141468562293,0.158899324779,0.0359176198937,0.442174469475,0.369431397337,0.407523877081
 10/13  12:00:00,2.69299483964,0.0250569602852,0.0,0.0,1.0893347021,0.236671987374,1.32600668947,0.236671987374,0.158899324779,0.0359176198937,0.432310148963,0.363208203814,0.353882852714
 10/13  13:00:00,2.88447349149,0.0259234159212,0.0,0.0,1.29010249179,0.285202703753,1.57530519554,0.285202703753,0.158899324779,0.0359176198937,0.392839479418,0.375767739833,0.322974132032
 10/13  14:00:00,2.98296156665,0.0273831204612,0.0,0.0,1.4035040813,0.310306560322,1.71381064162,0.310306560322,0.158899324779,0.0359176198937,0.363165015326,0.396926597813,0.291472367215
 10/13  15:00:00,3.08318482406,0.0289052722543,0.0,0.0,1.4431563072,0.321950126451,1.76510643365,0.321950126451,0.167262474107,0.0378080270375,0.375164064812,0.418990647577,0.296083176873
 10/13  16:00:00,3.03174231147,0.0341898710434,0.0,0.0,1.21105064,0.27624553105,1.48729617105,0.27624553105,0.209078092634,0.0472600337968,0.435099748529,0.4955925024,0.334645763058
