Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 10/11  22:00:00,1.34113226657,3.58880618523,0.0,2.91944594303,0.0,0.0803819365473,0.0803819365473,0.0803819365473,0.44745391491,0.0974887893068,0.211086728929,0.487608896873,0.63577485617
 10/11  23:00:00,1.06023165014,4.15114225788,0.0,3.62253925269,0.0,0.0997404048684,0.0997404048684,0.0997404048684,0.311034997636,0.0677666012207,0.140854588134,0.423723058284,0.499417929663
 10/11  24:00:00,0.769996843739,4.6823630407,0.0,4.3036523124,0.0,0.118493684708,0.118493684708,0.118493684708,0.158245843726,0.0344777374512,0.0911840680538,0.350483509799,0.354570225437
 10/12  01:00:00,0.669999135396,5.16382880214,0.0,4.85287572611,0.0,0.133615609366,0.133615609366,0.133615609366,0.098221587,0.02139998125,0.0769469663719,0.322702991408,0.288726031749
 10/12  02:00:00,0.62564339283,5.57486137474,0.0,5.28258311475,0.0,0.145446865269,0.145446865269,0.145446865269,0.0654810552136,0.0142666535596,0.0643753113384,0.31896150745,0.270308920573
 10/12  03:00:00,0.621225700994,5.84520888776,0.0,5.54831259311,0.0,0.152763270671,0.152763270671,0.152763270671,0.0654810552136,0.0142666535596,0.0571309948506,0.3144717267,0.275236201064
 10/12  04:00:00,0.62312430583,6.01862196356,0.0,5.67052899573,0.0,0.156128289689,0.156128289689,0.156128289689,0.0654810552136,0.0142666535596,0.067543792236,0.302592515132,0.327251087183
 10/12  05:00:00,0.674652539833,6.14250089822,0.0,5.56278512085,0.0,0.153161746898,0.153161746898,0.153161746898,0.0709378119045,0.0154555418115,0.0803165119766,0.337668927242,0.556457913653
 10/12  06:00:00,0.883501306684,6.92346394592,0.0,5.91187519827,0.0,0.162773343414,0.162773343414,0.162773343414,0.1473323805,0.032099971875,0.134040371138,0.390143239758,0.984716573249
 10/12  07:00:00,1.16884521048,6.39749001668,0.0,5.26697947927,0.0,0.145017245929,0.145017245929,0.145017245929,0.30012153441,0.0653888174317,0.211649190125,0.414556422586,1.10195683879
 10/12  08:00:00,1.09085435462,5.62167056362,0.0,4.52688951658,0.0,0.124640138224,0.124640138224,0.124640138224,0.267380977545,0.0582555024903,0.272982226561,0.350483509799,1.07064054417
 10/12  09:00:00,0.90660443892,4.53227103292,0.0,3.53557033927,0.0,0.0973458650084,0.0973458650084,0.0973458650084,0.130962143864,0.0285333144043,0.334361307064,0.29828980858,0.976155173594
 10/12  10:00:00,0.891548216012,4.2905587163,0.0,3.40475214736,0.0,0.0937440104761,0.0937440104761,0.0937440104761,0.10367836041,0.0225888731445,0.34911988098,0.305305091002,0.864777852276
