Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 04/22  19:00:00,1.16196253696,0.141794829324,0.0,0.169925168758,0.0359897449807,0.205914913738,0.0359897449807,0.107464924656,0.0178889408237,0.0878772030218,0.416780583295,0.316240971421
 04/22  20:00:00,1.18206060658,0.0961854192202,0.0,0.138203223492,0.0303644090866,0.168567632578,0.0303644090866,0.17608710642,0.0293119995815,0.0783154851054,0.431108944787,0.288874438111
 04/22  21:00:00,1.12956774893,0.0755198188831,0.0,0.125270191894,0.0275347470908,0.152804938984,0.0275347470908,0.190329437521,0.0316828216806,0.0711682090289,0.421044144519,0.252743197198
 04/22  22:00:00,0.927359019462,0.0543058517821,0.0,0.101165919704,0.0224127628705,0.123578682575,0.0224127628705,0.142423390606,0.0237082342412,0.0621568060188,0.364359748569,0.201337157452
 04/22  23:00:00,0.714291503565,0.0417074669589,0.0,0.0624138557355,0.0141523716441,0.0765662273796,0.0141523716441,0.0984016206349,0.01638023545,0.0544267061419,0.316621841745,0.142099872214
 04/22  24:00:00,0.493925869416,0.0313021614298,0.0,0.0313916053394,0.00717122264956,0.0385628279889,0.00717122264956,0.0504955737206,0.00840564801058,0.0489012486725,0.261894490291,0.0758710807323
 04/23  01:00:00,0.397101593069,0.0298760269929,0.0,0.0137467260349,0.00315874120238,0.0169054672373,0.00315874120238,0.0310741890073,0.00517270476923,0.0463103256281,0.24113583974,0.0467080666875
 04/23  02:00:00,0.356527944513,0.0230196326863,0.0,0.0,0.0,0.0,0.0,0.0207161295428,0.00344847043508,0.0441006276163,0.238340061888,0.0401276550311
 04/23  03:00:00,0.354292488618,0.0227891463127,0.0,0.0,0.0,0.0,0.0,0.0207161295428,0.00344847043508,0.042553056432,0.234985128465,0.0427947037429
 04/23  04:00:00,0.368990924184,0.028843640111,0.0,0.0,0.0,0.0,0.0,0.0207161295428,0.00344847043508,0.0428914358351,0.226108533785,0.0660313545861
